cave chamber floor;triangles=78;vertices=75;groups=1;actualCell=0.42969;seconds=0.0078
cave rear column course 4;triangles=694;vertices=489;groups=1;actualCell=0.15705;seconds=0.0052
cave rear column course 5;triangles=1662;vertices=1011;groups=1;actualCell=0.08573;seconds=0.0102
cave rear column course 6;triangles=1608;vertices=1033;groups=1;actualCell=0.09698;seconds=0.0060
cave rear column course 7;triangles=1544;vertices=950;groups=1;actualCell=0.10913;seconds=0.0052
cave skylight strata;triangles=1896;vertices=1389;groups=1;actualCell=0.19141;seconds=0.0259
cave skylight strata;triangles=1918;vertices=1427;groups=1;actualCell=0.19141;seconds=0.0267
cave skylight strata;triangles=2422;vertices=1707;groups=1;actualCell=0.19141;seconds=0.0262
cave exit arch rock;triangles=1644;vertices=1073;groups=1;actualCell=0.15234;seconds=0.0127
cave hanging taper;triangles=748;vertices=511;groups=1;actualCell=0.15000;seconds=0.0020
cave hanging taper;triangles=2168;vertices=1310;groups=1;actualCell=0.09531;seconds=0.0043
cave hanging taper;triangles=1764;vertices=1112;groups=1;actualCell=0.11562;seconds=0.0060
cave hanging taper;triangles=748;vertices=511;groups=1;actualCell=0.15000;seconds=0.0040
cave hanging taper;triangles=2168;vertices=1310;groups=1;actualCell=0.09531;seconds=0.0096
cave hanging taper;triangles=1764;vertices=1112;groups=1;actualCell=0.11562;seconds=0.0063
cave hanging taper;triangles=748;vertices=511;groups=1;actualCell=0.15000;seconds=0.0024
cave hanging taper;triangles=2168;vertices=1310;groups=1;actualCell=0.09531;seconds=0.0047
cave hanging taper;triangles=1764;vertices=1112;groups=1;actualCell=0.11562;seconds=0.0041
cave wall incised face;triangles=2649;vertices=2591;groups=1;actualCell=0.02812;seconds=0.0238
cave wall bronze recess;triangles=18;vertices=29;groups=1;actualCell=0.23500;seconds=0.0014
cave fallen stone;triangles=616;vertices=471;groups=1;actualCell=0.16875;seconds=0.0021
cave fallen stone;triangles=664;vertices=464;groups=1;actualCell=0.16875;seconds=0.0023
cave fallen stone;triangles=728;vertices=492;groups=1;actualCell=0.16875;seconds=0.0021
cave fallen stone;triangles=778;vertices=510;groups=1;actualCell=0.16875;seconds=0.0023
