cave chamber floor;triangles=78;vertices=75;groups=1;actualCell=0.42969;seconds=0.0072
cave strata 1/2/5;triangles=100;vertices=106;groups=1;actualCell=0.18594;seconds=0.0043
cave strata 1/2/6;triangles=182;vertices=170;groups=1;actualCell=0.18594;seconds=0.0046
cave strata 1/3/0;triangles=206;vertices=171;groups=1;actualCell=0.18594;seconds=0.0037
cave strata 1/3/1;triangles=200;vertices=176;groups=1;actualCell=0.18594;seconds=0.0035
cave strata 1/3/2;triangles=158;vertices=159;groups=1;actualCell=0.18594;seconds=0.0043
cave strata 1/3/3;triangles=202;vertices=171;groups=1;actualCell=0.18594;seconds=0.0036
cave strata 1/3/4;triangles=104;vertices=110;groups=1;actualCell=0.18594;seconds=0.0028
cave strata 1/3/5;triangles=148;vertices=146;groups=1;actualCell=0.18594;seconds=0.0032
cave strata 1/3/6;triangles=214;vertices=180;groups=1;actualCell=0.18594;seconds=0.0034
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.50000;seconds=0.0008
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.47188;seconds=0.0008
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.50000;seconds=0.0008
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.47188;seconds=0.0007
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.50000;seconds=0.0010
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.47188;seconds=0.0009
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.50000;seconds=0.0009
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.47188;seconds=0.0009
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.50000;seconds=0.0009
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.47188;seconds=0.0008
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.50000;seconds=0.0007
cave rear opening strata;triangles=12;vertices=24;groups=1;actualCell=0.47188;seconds=0.0008
cave terrace rock;triangles=20;vertices=31;groups=1;actualCell=0.26562;seconds=0.0024
cave terrace moss;triangles=76;vertices=78;groups=1;actualCell=0.06531;seconds=0.0166
cave terrace rock;triangles=18;vertices=29;groups=1;actualCell=0.49687;seconds=0.0016
cave terrace moss;triangles=60;vertices=64;groups=1;actualCell=0.06102;seconds=0.0151
cave terrace rock;triangles=30;vertices=39;groups=1;actualCell=0.46250;seconds=0.0016
cave terrace moss;triangles=108;vertices=96;groups=1;actualCell=0.05672;seconds=0.0141
cave terrace rock;triangles=16;vertices=28;groups=1;actualCell=0.42812;seconds=0.0013
cave terrace moss;triangles=116;vertices=107;groups=1;actualCell=0.05242;seconds=0.0159
cave warm mineral shelf;triangles=42;vertices=47;groups=1;actualCell=0.15625;seconds=0.0029
cave shelf pale deposit;triangles=18;vertices=29;groups=1;actualCell=0.12969;seconds=0.0035
cave hero column deep rock;triangles=4028;vertices=2328;groups=1;actualCell=0.15703;seconds=0.0074
cave hero column course 0;triangles=994;vertices=676;groups=1;actualCell=0.15313;seconds=0.0037
cave hero column course 1;triangles=1624;vertices=998;groups=1;actualCell=0.13438;seconds=0.0051
cave hero column course 2;triangles=1592;vertices=1041;groups=1;actualCell=0.11375;seconds=0.0047
cave hero column course 3;triangles=1324;vertices=842;groups=1;actualCell=0.12063;seconds=0.0043
cave hero column course 4;triangles=2226;vertices=1336;groups=1;actualCell=0.09813;seconds=0.0061
cave hero column course 5;triangles=1652;vertices=1020;groups=1;actualCell=0.10813;seconds=0.0048
cave hero column course 6;triangles=1428;vertices=933;groups=1;actualCell=0.12375;seconds=0.0045
cave hero column course 7;triangles=1414;vertices=884;groups=1;actualCell=0.14062;seconds=0.0050
cave rear column deep rock;triangles=3276;vertices=1824;groups=1;actualCell=0.15703;seconds=0.0055
cave rear column course 0;triangles=1068;vertices=713;groups=1;actualCell=0.11813;seconds=0.0034
cave rear column course 1;triangles=1628;vertices=993;groups=1;actualCell=0.10463;seconds=0.0041
cave rear column course 2;triangles=1898;vertices=1189;groups=1;actualCell=0.08978;seconds=0.0059
cave rear column course 3;triangles=1466;vertices=932;groups=1;actualCell=0.09473;seconds=0.0045
cave rear column course 4;triangles=694;vertices=489;groups=1;actualCell=0.15705;seconds=0.0032
cave rear column course 5;triangles=1662;vertices=1011;groups=1;actualCell=0.08573;seconds=0.0055
cave rear column course 6;triangles=1608;vertices=1033;groups=1;actualCell=0.09698;seconds=0.0048
cave rear column course 7;triangles=1544;vertices=950;groups=1;actualCell=0.10913;seconds=0.0047
cave ceiling left;triangles=126;vertices=113;groups=1;actualCell=0.38281;seconds=0.0042
cave ceiling right;triangles=162;vertices=135;groups=1;actualCell=0.38281;seconds=0.0037
cave ceiling entry brow;triangles=136;vertices=113;groups=1;actualCell=0.31250;seconds=0.0031
cave ceiling rear brow;triangles=18;vertices=29;groups=1;actualCell=0.41875;seconds=0.0015
cave hanging taper;triangles=748;vertices=511;groups=1;actualCell=0.15000;seconds=0.0022
cave hanging taper;triangles=2168;vertices=1310;groups=1;actualCell=0.09531;seconds=0.0052
cave hanging taper;triangles=1764;vertices=1112;groups=1;actualCell=0.11562;seconds=0.0039
cave hanging taper;triangles=748;vertices=511;groups=1;actualCell=0.15000;seconds=0.0022
cave hanging taper;triangles=2168;vertices=1310;groups=1;actualCell=0.09531;seconds=0.0047
cave hanging taper;triangles=1764;vertices=1112;groups=1;actualCell=0.11562;seconds=0.0038
cave hanging taper;triangles=748;vertices=511;groups=1;actualCell=0.15000;seconds=0.0025
cave hanging taper;triangles=2168;vertices=1310;groups=1;actualCell=0.09531;seconds=0.0047
cave hanging taper;triangles=1764;vertices=1112;groups=1;actualCell=0.11562;seconds=0.0036
cave column incised face;triangles=1797;vertices=1875;groups=1;actualCell=0.04297;seconds=0.0076
cave column bronze recess;triangles=14;vertices=26;groups=1;actualCell=0.18188;seconds=0.0010
cave wall incised face;triangles=1647;vertices=1824;groups=1;actualCell=0.05625;seconds=0.0082
cave wall bronze recess;triangles=18;vertices=29;groups=1;actualCell=0.23500;seconds=0.0017
cave fallen stone;triangles=616;vertices=471;groups=1;actualCell=0.16875;seconds=0.0023
cave fallen stone;triangles=664;vertices=464;groups=1;actualCell=0.16875;seconds=0.0022
cave fallen stone;triangles=728;vertices=492;groups=1;actualCell=0.16875;seconds=0.0023
cave fallen stone;triangles=778;vertices=510;groups=1;actualCell=0.16875;seconds=0.0026
